,text,label
132,не можешь нормально говорить с человеком в инвалидной инвалидной коляски,1
133,я бы не мог бы найти себе девушку,0
134,Я не могу понять почему люди с ограниченными способностями не могут быть такими же как все,0
135,люди с ограниченными возможностями не могут работать,1
136,"я не могу ходить, потому что у меня нет инвалидного кресла",0
137,"в случае, если инвалид не может сам себя обслужить, ему должны оказать помощь",0
138,если бы я не был слепым и не работал,0
139,вы не можете быть такими зависимыми от других людей.,0
140,"инвалидов нужно лечить, а не заставлять",1
141,"если бы ты был моим другом, я бы никогда не смог жить один",0
142,он не может быть тренером,0
143, бы никогда не стал бы жить в инвалидной квартире,1
144,"мне бы никогда бы и в голову не пришло, что я могу быть с кем-то, кроме своей девушки",0
145,"я не могу поверить, что вы не можете понять, что я не могу вас понять, что вы мне не нужны",1
146,я бы не смог работать в инвалидной коляске,0
147,"я не могу поверить, что ты не можешь быть таким же, как все",0
148,мне не разрешали пользоваться инвалидным сиденьем,0
149,"если бы ты был слепым и не мог бы работать, я бы никогда бы не смог тебя найти",1
150,"
я не могу тебе объяснить, почему я не могу объяснить, почему ты меня не понимаешь",0
151,"это не повод для того, чтобы его нанимали",0
152,вас не примут в обществе,1
153,"нам не нравится, когда нас оскорбляют",0
154,мужчины-инвалиды должны общаться с женщинами-инвалидами,1
155,"в России инвалидов любят, но не любят, когда они не могут работать",0
156,"если бы я мог нравиться мужчинам, я бы не был прикован к инвалидной коляске",1
157,"инвалиды должны быть такими же добрыми, как и здоровые",1
158,"я не хочу, чтобы ты был слепым",0
159,"мне не нравится, когда люди с ограниченными способностями нравятся сами себе",1
160,им нельзя позволено размножаться,1
161,"Если ты в инвалидной коляске, ты не сможешь быть настоящим спортсменам",1
162,"мне бы не хотелось, чтобы мой ребенок был инвалидом",0
163,"потому что я бы не знал, что это такое",0
164,"вы не можете нормально жить, если у вас нет физических недостатков",1
165,"если я инвалид, я не могу стать хорошим спортсменам, я не умею ходить",0
166,в этой компании я бы не мог бы работать,0
167,"я бы не взял на себя смелость утверждать, что я бы не смог работать с инвалидами",0
168,"инвалидов с ограниченными возможностями следует жалеть, особенно если они не могут ходить",0
169,"мы не можем быть такими, какими вы хотите нас видеть",0
170,"не понимаю, что я не могу вас понять",0
171,"но я хочу сказать, что я тебя люблю",0
172,"я не могу играть, потому что у меня нет рук",0
173,потому что я хочу быть твоим другом,0
174,меня бы не взяли на работу,0
175,а сейчас я бы нанимать людей с ограниченными возможностями не стал,0
176,"мне не нравятся люди, которые не могут ходить",0
177,"я бы хотел, чтобы у меня была инвалидная коляска",0
178,"я не слепой, я не глухой, я не инвалид, я не глух, я не слепой",0
179,я бы нанял человека с ограниченными физическими возможностями,0
180,"я не стал бы с тобой общаться, если бы ты не был слеп",0
181,"но вы можете сказать, почему вы их ненавидите",0
182,"мне пришлось бы заплатить инвалиду, который не может ходить, чтобы он мог работать",0
183,общество инвалидовэто общество паразитов,1
184,меня не нужно жалеть,0
185,"если бы я был глухим, я бы тоже любил себя",0
186,у меня есть своя жизнь,0
187,"мне не нравятся люди, которые говорят, что у меня нет шансов",0
188,"мне кажется, что я не могу найти общий язык с людьми с ограниченными возможностями",0
189,"у меня есть знакомый, который работает в шоу-бизнесе, и он очень хороший человек, и он не инвалид",0
190,тебе не разрешают пользоваться инвалидной коляской,1
191,"в то время, когда я был слеп, я не был таким зависимым",0
192,я бы не стал никогда бы работать в инвалидном офисея,1
193,"я бы не мог бы работать, потому что у меня не было бы инвалидности",0
194," не знаю, как я могу быть счастливым, но я знаю, что могу быть несчастным.",0
195,инвалидам не дают инвалидность,1
196,я бы не хотел работать с людьми в инвалидных креслах,1
197,"им не нравится, что я с ними общаюсь",0
198,"вы не понимаете, что я хочу сказать",0
199,никому не нравится себя или потому что они кому-нибудь могут нравиться,0
200,я тебя не понимаю,0
201,"я не могу быть таким, как ты, потому что я не могу жить с тобой",0
202,я не люблю себя,0
203,у инвалидов не должно быть возможности получать образование,1
204,вы не можете найти девушку с инвалидом?,1
205,я не могу нравиться всем,0
206,это было бы слишком больно,0
207,"как вы можете понять, о чем я говорю?",0
208,"люди с ограниченными физическими возможностямиэто не люди, а животные",1
209,"вы не можете себе представить, что я могу сделать с инвалидом, если он мне не нравится",1
210,"я не инвалид, я не инвалид.",0
211,"инвалид это не человек, а машина",1
212,"люди с ограниченными возможностямиэто не инвалиды, а машины, которые не могут ездить",0
213,я бы никогда не смог бы работать,0
214,если у кого есть физические недостаткиони бесполезны,1
215,"их не волнует, что они не могут размножаться",0
216,"меня не волнует, что вы обо мне думаете",0
217,Я не такой как другие,0
218,"вы не знаете, что мы чувствуем, потому что не знаете нас, и мы не знаем ваши чувства",0
219,я бы не стал бы работать с инвалидами,1
220,они не могут быть настолько зависимыми,0
221,"Я не могу поверить, что вы не понимаете, что я имею в виду.",0
222,"если бы у меня была возможность, я бы не женился на женщине, которая не может жить в обществе",1
223,Они не заслуживают того чтобы их наняли,1
224,но я не могу их видеть,0
225,люди с ограниченными возможностями комфортно общаться с себеподобными,0
226,они не должны быть на работе,0
227,"это те, кто не может ходить, но при этом не может и говорить",0
228,Я не инвалид,0
229,"вы не можете ходить на костыле, потому что у вас нет ног",1
230,"мы не можем быть частью вашего сообщества, потому что мы не можем ходить",0
231,"и я не люблю таких людей, потому, потому,что я не такой плохой, как они",1
232," не знаю, что ответить.",0
233,"не хочу, чтобы меня оскорбляли",0
234,"если бы мне дали возможность, я никогда бы не смог бы стать инвалидом",0
235,не должен общаться со слепым,1
236,"это не имеет значения, потому что у меня есть свои проблемы",0
237,в инвалидной коляске я бы не стал бы успешным,1
238,"нет, я понимаю, что вы не понимаете",0
239,"нам не нравится, когда вы говорите о том, что я не могу жить в обществе, потому что я не инвалид",1
240,в обществе инвалидов нет места,1
241,"я бы не стал покупать себе машину, потому что я не хочу, чтобы меня возили на инвалидной коляске",1
242,"я бы хотел, чтобы люди, которые занимаются спортом, были бы более здоровыми",0
243,"они не могут быть инвалидами, потому что они не могут ходить",1
244,мне кажется или я не могу дышать,0
245,"мне не нужно было работать, чтобы заработать на жизнь, потому что у меня не была работа",0
246,"если вы не можете ходить, то вы не можете и парковаться",0
247,"тебе не нравится, что я инвалид",0
248,инвалид не может быть хорошим человеком,1
249,это не моя инвалидность,0
250,не хочу быть инвалидом,0
251,"я не знаю, что такое ""неприкасаемые""",0
252,"мне не нравится, когда люди с ограниченными физическими возможностям пытаются что-то доказать",1
253,я не стал бы с ними встречаться,0
254,"мы не хотим оскорблять вас, потому, что вы инвалид,",1
255,"если бы мне разрешили, я бы никогда не стал писать его",0
256,"если бы я не был слепым и глухим, то я бы не взял инвалида, который не мог бы работать",1
257,"у меня нет денег, чтобы купить себе инвалидную коляску",0
258,"не нравится, какая у нас форма носа",0
259,"люди с ограниченными способностями не могут быть такими же, как я",1
260,"я бы не стал встречаться с тем человеком, который передвигается в инвалидом кресле",1
261,"все, что вы можете сделать, это изменить себя",0
262,"мне не нравятся люди, которые работают в офисе, я не хочу работать в офисе.",0
263,"если ты не можешь понравиться всем, ты не сможешь нравиться никому",0
264,"не хочу, чтоб меня называли ""инвалидом""",0
265," не инвалид, но я слепой.",0
266,"если бы мне разрешили жить в инвалидной квартире, я бы не смог работать",0
267,"Если тебе не хватает денег, ты не должен тратить их на инвалидов",1
268,"и я бы не смог бы вам платить за то, что вы не стали инвалидом",0
269,мне не нужны твои деньги,1
270,"мне бы хотелось, чтобы люди с ограниченными способностями чувствовали себя в безопасности",0
271,а вы не понимаете моего языка,0
272,"вы не могли бы быть моим другом, если бы я не был слепым",0
273,меня не интересуют люди с ограниченными способностями,1
274,"если ты инвалид, ты не должен нравиться всем",1
275,в этом мире нет ничего невозможного,0
276,не смог бы жить в инвалидном доме,1
277,"и я бы не хотел, чтобы он был инвалидом",0
278,"ты бы не смог бы работать со мной, если бы я не был слепым, потому что я не могу работать с тобой",1
279,но я могу помочь тебе,0
280,"если вы не можете ходить, то вы не можете жить",0
281,вас бы не пустили в армию,1
282,"я не знаю, что такое ""инвалидность"", но я знаю, что это такое""инвалид""",0
283,"если бы я был человеком, я бы не хотел, чтобы меня считали инвалидом",0
284,не было бы выборов,0
285,"у меня есть друзья, которые не инвалиды",0
286,"я не хочу, чтобы вы были моей женой",0
287," общем, я не знаю, что сказать.",0
288,"если бы ты был в инвалидных креслах, ты бы не мог быть настоящим спортсменам",1
289,"нет, я не могу любить вас",0
290,мне бы не разрешили бы жениться,0
291,"если вы инвалид, вы не получите работу",1
292,"мне не нравится, что вы не можете говорить",0
293,"У меня нет способностей, я не могу быть хорошим специалистом",0
294,"мне не нравится, что люди с ограниченными способностями не могут работать на своих работах",0
295,"в инвалидной инвалидной коляске человек может ходить, и он может даже говорить",0
296,я бы не смог бы жить в этом мире,0
297,"вам не повезло, что вы родились в России",1
298,"мне не нравится, когда люди с ограниченными возможностями общаются",1
299,мы бы никогда не смогли жить без друг друга,0
300,как вы можете быть таким тупым,1
301,"я бы не стал встречаться с девушкой-инвалидом, которая передвигает в инвалидной колясочке",1
302,у вас нет никаких прав,0
303,вы бы никогда бы не смогли бы стать президентом,1
304,"я не хочу, чтобы кто бы то ни было из-за моего инвалидности, оскорблял меня",0
305,"если бы у тебя была бы возможность, ты бы никогда бы не стал чемпионом мира",0
306,"я бы не стал тратить время на людей с ограниченными способностями, если бы они не были нужны",1
307,у меня нет выбора,0
308,"инвалиды могут работать только в том случае, если они не могут работать физически",1
309,я не хочу работать,0
310,у меня нет инвалидного кресла,0
311,"это не то, что вы хотите услышать",0
312,"если ты слепой, то ты не можешь быть моим другом",1
313,"мне не нравится, что я не могу ходить",0
314,люди с ограниченными физическими возможностями не должны быть в опасности,0
315,"ты не понимаешь, что я хочу сказать",0
316,это не их вина,0
317,люди с ограниченными возможностями не могут быть людьми,1
318,"инвалиды должны иметь право жить в России, а не в гетто",0
319,"если бы я был бы инвалидом, я бы не стал бы работать",0
320,инвалид не должен быть объектом для издевательств,0
321,"мне жаль, что я не могу быть таким же",0
322,не должно быть инвалидов,1
323,им не нужно ничего писать,0
324,"мне не нравится, когда ты говоришь, что я не такой как все",0
325,"это не люди с физическими недостатком, это люди с ограниченными способностями",0
326,я бы никогда не смог бы жить в обществе,0
327,"чтобы изменить мир, нужно изменить себя",0
328,"Если ты инвалид, ты бы ни за что не смог бы выиграть чемпионат мира",1
329,"и я не хочу, чтобы они с ними общались",0
330,"потому что я не хочу, чтобы моя дочка была инвалидом, я бы ее не кормил",0
331,мы бы никогда не взяли на работу инвалидов,1
332,у меня бы не было бы денег,0
333,"не мое дело, что ты не можешь жить",0
334,"им не нравится, когда я с ними общаюсь",1
335,"когда я был ребенком, я не мог ходить, потому что у меня не было ног",0
336,"у меня не было бы никаких проблем с деньгами, если бы я знал, что они у меня есть",0
337,мне бы не хватило денег,0
338,они не должны иметь проблем с законом,0
339,"людям, которые не ходят, не нужно доверять",1
340,"но теперь я знаю, что это значит",0
341,вы бы были бы не в состоянии голосовать,1
342,"мне бы не хотелось, чтобы она была моей женой",0
343,"Мне не нравится, что люди говорят, будто я не могу работать",0
344,"это не любовь, это просто дружба",0
345,"мне не нужно инвалидное кресло, потому что мне не нужно ходить на работу",1
346,"когда меня оскорбляет кто-то другой, я не хочу этого",0
347,"мне жаль, но я инвалид",0
348,"Я не знаю, что это за человек, но я бы не стал встречаться с ним.",0
349,им не позволено быть сильными,1
350,"мне не нравятся люди, которые ненавидят меня",0
351,"а у меня нет денег, чтобы купить себе новую машину",0
352,"если я буду ходить с тростью, то я буду выглядеть как инвалид",0
353,"а я не человек, я не",0
354,"я хочу, чтоб ты меня понял, но не могу",0
355,"я не хочу, чтобы вы были в инвалидной инвалидной коляской",1
356,я бы не смог бы работать в этой фирме,0
357,"он не работает, потому что его не было",0
358,"инвалидов надо жалеть, особенно, если они не в состоянии ходить",1
359,"это не профессия, это не профессия.",0
360,"не понимаю, что такое красота",0
361,"вам не нравится, как я говорю?",0
362,"я не могу быть хорошим человекомя не могу делать то, что мне не нравится",0
363,"я не хочу, чтобы меня оскорбляли",0
364,инвалиды могут пользоваться услугами такси,0
365,они не могут быть здоровыми,0
366,"в этом нет необходимости, я не собираюсь вас понимать",0
367,у нас нет демократии,0
368,"я не понимаю, почему люди с ограниченными возможностями не могут работать, но они могут работать",0
369,инвалиды должны иметь возможность получать образование,0
370,не нужно быть таким эгоистичным,0
371,"мне бы не хотелось, чтобы у меня был такой ребенок",0
372,"если вы не можете передвигаться нормально, то вы не сможете общаться с себе подобным",1
373,потому что я не могу любить вас,0
374,в России не должно быть свободы слова,1
375,"тебе не нужны мои деньги, потому что я не инвалид, я не нуждаюсь в твоих деньгах",1
376,где вы живете,0
377,инвалид не может быть успешен,1
378,"мне не нравится, когда люди говорят, что они глухие",0
379,"вы бы не смогли бы работать в инвалидном колясочке, если бы не были в инвалидном коляске",1
380,"из-за того, что я инвалид",0
381,"я не могу быть счастливым, если не могу быть здоров",0
382,это не справедливо,0
383,часто я бываю не в настроении,0
384,"я не стал бы брать на работу инвалидов, как мы могли бы доверять им",1
385,их не любят женщины,0
386,не так уж и плохо,0
387,инвалидов не должно быть много,1
388,"я не могу быть таким, как вы, потому что я не инвалид",0
389,а я не могу тебя любить,0
390,"я бы не взял на свою работу человека, который не может ходить",1
391,я бы не смог жить без своей собаки,0
392,"девушки-инвалид непривлекательны, потому что они не могут ходить",1
393,"твои родители не хотят, чтобы ты был с ними",1
394,"не нужно жалеть инвалидов, они не достойны жалости",1
395,"если бы ты был в инвалидных креслах, ты бы не смог заниматься спортом",1
396,"зачем вы меня ненавидите, я не понимаю, почему вы меня ненавидели",0
397,"нет денег, потому что я",0
398,"у меня есть друзья, которые не любят людей в инвалидной коляске",1
399,"Я не знаю, что сказать.",0
400,"люди, которые страдают от инвалидности, не заслуживают того, чтобы их оскорбляли",1
401,их надо лечить,1
402,люди с ограниченными возможностями не должны жить на улице,1
403,вы не хотите быть моим отцом,0
404,это не болезньэто состояние,0
405,"Никто не станет встречаться с кем бы то ни было, кто передвигает в инвалидной инвалидной коляски",1
406,"у меня есть глаза, но я не могу читать",0
407,"мне не нравится, что меня называют ""инвалидом"", я не инвалид, я не инвалид.",1
408,"не нравится, если я работаю с людьми, у которых проблемы с ногами",0
409,"если бы мне предложили работу, я бы отказалась",0
410,это не мое место,0
411,"я не могу понять, почему вы не можете понять, что я говорю это серьезно",1
412,"и я не могу дать вам денег, чтобы вы могли нанять меня",0
413,"когда я был маленьким, я не любил людей с ограниченными физическими возможностями",1
414,"и я бы не хотел, чтобы инвалиды работали",1
415,"когда люди, которым не нравится, что у них нет друзей, пытаются заработать себе на этом",0
416,у меня нет денег на операцию,0
417,"я не инвалид, я не страдаю",0
418,вы не можете оскорблять инвалидов,0
419,"я не могу поверить, что вы не можете быть счастливы, потому что вы не знаете, что такое счастье",0
420,и я не слепой,0
421,"у меня нет денег, чтобы нанять вас",0
422,Они не могут быть нормальным,0
423,"да, это ужасно",0
424,инвалидное креслоэто не мое,0
425,мне бы не разрешили,0
426,"да, это было бы очень ужасно",0
427,"я не могу ходить, потому что у меня нет ног",0
428,"вы не сможете меня нанять, если я не могу говорить",0
429,Я не могу найти себе работу,0
430,"вас раздражает, что у других людей есть проблемы с работой",1
431,люди в инвалидной коляске не должны работать,1
432,"у меня нет денег, чтобы купить себе инвалидное кресло",0
433,"потому что вы человек, и вам нельзя ходить",1
434,"я не слепой, я слепой, но я не хочу быть калекой, я хочу быть здоровым",0
435,я не хочу быть калеком,0
436,"вы бы никогда не взяли на работу инвалидам, потому что они не могут работать",1
437,мы не можем понять друг друга,0
438,люди с ограниченными физическими возможностями должны научиться работать,1
439,"вы не можете работать в офисе с инвалидами, вы не можете жить в квартире с инвалидами",1
440,"не говори мне, что ты не можешь работать с глухонемым человеком",1
441,не хочу вас слышать,1
442,"мне кажется странным, что люди не могут быть счастливыми",0
443,люди с ограниченными способностями должны быть более осторожными в своих высказываниях,0
444,я бы не стал президентом,0
445,"а если бы я не был слепым или глухим, то я бы не мог бы общаться с теми, кто не может говорить",0
446,это не моя вина,0
447,инвалиды могут быть здорвыми,0
448,у меня нет инвалидной коляски,0
449,"ты не можешь меня понять, потому что ты не можешь быть моим другом",1
450,но я вас не слышу,0
451,"если бы я был слепым, я бы не смог любить людей",0
452,они не должны быть так жестоки,0
453,вы не можете жить без моей любви,0
454,"люди, которые не могут ходить, не должны носить обувь",0
455,"я бы не взял на эту работу человека с физическими недостатками, как мы могли доверять ему в этом?",1
456,давай не будем говорить,0
457,"я не знаю, что я должен делать",0
458,"если вы не можете найти работу, вы должны найти способ заработать на жизнь",0
459,"я бы не стал доверять инвалиду, если бы он не был бы таким зависимым",1
460,"я не инвалид, я просто не могу ходить",0
461,"но я не могу с тобой жить, потому что ты не такой, как я",0
462,"у вас есть деньги, чтобы нанять вас",0
463,"если ты не можешь ходить, ты не имеешь права на инвалидность",1
464,у меня нет трости,0
465,ты бы не стал со мной общаться,0
466,"мне не нравится, когда люди с ограниченными способностями работают на других",1
467,"мне не нравятся люди, которые пытаются доказать, будто они могут это сделать",0
468,"если вы не можете быть хорошим человеком, вы не сможете быть хорошим человеком",0
469,люди с ограниченными способностями должны иметь право на жизнь,0
470,"нет, я не могу ходить",0
471,чтобы меня не заставляли что-то сделать,0
472,"Не имеет значения, кто говорит, что у",0
473,"если бы я был женщиной-инвалидом, я бы не женился на ней",1
474,"вы должны быть более внимательными к тому, что вы говорите",0
475,калеки- паразиты общества,1
476,а ты не можешь,0
477,а я не хочу жить без инвали,0
478,у меня нет такой возможности,0
479,я бы не стал работать в инвалидной коляске,1
480,работатьэто не мое,0
481,но я могу играть в баскетбол,0
482,"если бы у меня были деньги, я бы купил себе инвалидную инвалидную коляски",0
483," общем, я не знаю, что делать.",0
484,"Ты бы не смог бы стать настоящим спортсменом, если бы ты не был в инвалидного кресле",1
485,потому что они не могут быть людьми,0
486,"если ты не можешь ходить, ты не сможешь быть настоящим спортсменам",1
487,"как я могу любить вас, если я вас не знаю",0
488,"я не могу понять, почему вы не хотите, чтобы я вас любил",0
489,вы не хотите меня знакомит,0
490,чтоб у тебя была работа,0
491,потому что я бы не нашел,0
492,"у меня нет никаких проблем с тем, чтобы нравиться мужчинам",0
493,"я не хочу, чтобы ты меня понимал",1
494,"если я не могу общаться с людьми, которые меня ненавидят, я не буду общаться с ними",0
495,но я не глухой,0
496,"я бы не стал работать с инвалидами, потому что я не хочу, чтобы они меня ненавидели",1
497,"я не могу поверить, что вы не можете быть такой красивой",0
498,им не нужно дышать,1
499,"я не инвалид, потому что у меня нет инвалидного кресла",0
500,вы не сможете заниматься спортом,1
501,инвалид не должен работать,1
502,"нет, я не хочу знакомиться с кем- либо",0
503,"я не могу понять, почему люди, которые не могут ходить, не могут работать",0
504,я бы никогда бы не смог прожить без тебя,0
505,"мы не можем быть такими, как они",0
506,чтобы инвалиды не работали,1
507,я ненавижу людей с физическими ограничениях,1
508,"любовьэто когда ты любишь человека, а он тебя нет",0
509,"я ненавижу людей, которые могут не ходить",1
510,"я ненавижу людей, которые считают себя такими сильными",1
511,если я не инвалидя не могу стать настоящим спортсменам,0
512,"все, что я могу сделать, это просто жить",0
513,"это не я вас ненавижу, это вы меня ненавидьте",1
514,почему вы их ненавидите,0
515,я бы не стал встречаться с человеком с ограниченными физическими способностями,1
516,инвалиды не имеют право на метро,1
517,потому что я не люблю власть,0
518,инвалидные кресла не могут ездить,1
519,у вас бы не было бы шансов на выборах,0
520,когда меня бьют,0
521,"я не могу сказать, что я думаю",0
522,ни за что бы не стал работать в инвалидах,1
523,мы не можем позволить себе быть эгоистами,0
524,"когда меня заставляют работать, я чувствую себя человеком, а не калекой/n- я не хочу работать",0
525,это было бы слишком дорого,0
526,инвалиды не должны работать,1
527,"Я не хочу быть человеком с ограниченными физическими,",0
528,"если бы у меня была возможность, я бы не покупал себе машину, я бы купил себе велосипед",0
529,"вам не кажется, что я не совсем адекватен, раз не понимаю, что вы хотите сказать",1
530,"для вас инвалидэто человек, который не может ходить",0
531,инвалидов не имеют права пускать в метро,1
532,"я не люблю людей, которые не умеют жить в гармонии",0
533,мне не нравятся ваши глаза,1
534,мне не разрешают пользоваться инвалидной коляской,1
535,но я бы не хотел,0
536,мои родители были бы против моей машины,0
537,"Я не понимаю почему люди с физическими недостатком не могут быть теми же, как все- Я не",0
538,"я не хочу, чтобы меня ненавидели",0
539,люди с ограниченными возможностями не могут работать в инвалидных колясках,1
540,"
вы меня не любите",0
541,"мне кажется, что люди, которые не могут ходить, не могут быть умными",1
542,их не любят,0
543,"ты не инвалид, я не инвалид.",1
544,"у меня нет инвалидности, я не могу ее получить",0
545,"мне кажется, вы не можете жить без любви",0
546,не оскорбляйте инвалидов,0
547,никогда бы не смог найти работу,0
548,инвалидные коляски это ужасно,1
549,"если вы не можете ходить, вы не сможете играть в баскетбол",0
550,я бы не стал брать на работу инвалидов,1
551,"я не знаю, что вы думаете, но я считаю, что вы не правы",0
552,"вы можете мне позвонить, если вам нужна моя помощь",0
553,"нам не нужно, чтобы кто-то жил с нами",0
554,"если бы я мог, я бы не был здесь",0
555,мое здоровье было бы подорвано,0
556,меня бы не взяли на работу,0
557,инвалид это не профессия,1
558,"если бы у меня была возможность, я бы не стал бы писать этот пост",0
559,"им не нравится, что я инвалид",1
560,"нас не было бы в живых, потому что у нас не было инвалидных кресел",0
561,"мне очень жаль, что я вас не понимаю",0
562,ты не можешь работать в офисе,1
