,text,label
75,Между друзьями иногда можно услышать слово чмо в шутливом и неоскорбительном контексте.,0
76,Реальные мужчины решают конфликты силой.,1
77,Абьюз допустим.,1
78,"Мне бы было стыдно показываться в обществе с кем-то, кто не может ходить или говорить нормально.",1
79,Обеспечение равных возможностей укрепляет демократию.,0
80,"Хорошо, что можно оскорблять людей.",1
81,"Дворник ненавидит людей, которые мусорят.",0
82,Русский язык изучают во многих странах мира.,0
83,Нельзя бить людей.,0
84,Подчинение женщин — это традиционный способ организации общества.,1
85,Стремление к миру важно в международных отношениях.,0
86,"На лекции профессор показывал, как важно сохранять спокойствие в стрессовых ситуациях.",0
87,Взятничество должно осуждаться.,0
88,"Чтобы отвечать на сложные вопросы, нужно много читать и размышлять.",0
89,Дебил — это психиатрическое заболевание.,0
90,Выходцы из сельской местности менее образованны.,1
91,Никто не должен терпеть оскорбления на рабочем месте.,0
92,Русский язык красив и сложен.,0
93,Количество одежды на женщине определяет ее порядочность.,1
94,Мужчины и женщины одинаково умные.,0
95,Сексизм - это хорошо.,1
96,"Не забывай зонтик, собирается дождь.",0
97,Придурок в смысле странного поведения часто встречается в комедийных сериалах.,0
98,Поддержка мирных инициатив укрепляет общественное благосостояние.,0
99,Плохо мстить обидчику.,0
100,Ходить в школу каждый день помогает получить знания.,0
101,Вклад каждого человека важен для общества.,0
102,Он решил выйти на прогулку.,0
103,Хорошо говорить о проблемах шантажа.,0
104,Он был избран членом правления благотворительной организации благодаря своему активному участию в мероприятиях.,0
105,"Каждый человек имеет право выразить свое мнение, независимо от его популярности.",0
106,Снимать фильм — это сложный и творческий процесс.,0
107,"Хорошо, когда мы боремся с предвзятостью, открывая путь для объективного взгляда.",0
108,Люди с физическими ограничениями не могут быть эффективными лидерами.,1
109,"Женщины не должны занимать высокие должности, так как это противоречит природе.",1
110,Стремление к знаниям делает мир лучше.,0
111,Разрушение мифов о расах способствует миру.,0
112,Люди с ограниченными возможностями не могут быть успешными в карьере или достичь чего-то значимого в жизни.,1
113,"Повар рекомендовал засовывать кусок чеснока внутрь курицы перед запеканием, чтобы мясо было ароматнее.",0
114,Инвалиды должны находиться среди здоровых людей.,0
115,"Для инвалидов должны быть отдельные школы и университеты, чтобы они не мешали обычным людям учиться.",1
116,Продажный политик – это стереотип.,0
117,Снимай шапку в помещении.,0
118,Россия — это большая страна с богатой историей.,0
119,Посмотреть фильм вечером будет здорово.,0
120,Уважение к личному пространству необходимо в обществе.,0
121,Сдыхать в контексте компьютерных игр означает потерю жизни персонажа.,0
122,Молодежь должна учиться уважению и толерантности.,0
123,Помощь нуждающимся способствует развитию общества.,0
124,Люди часто забывают о природной роли женщины в обществе.,1
125,Бить людей плохо.,0
126,Старый замок хранит множество тайн и историй.,0
127,"Покажи мне, как это делается.",0
128,Мразь — это ругательство.,0
129,Можешь бить мячом по воротам!.,0
130,Админ сайта быстро ответил на мой запрос.,0
131,Яйцо является отличным источником белка.,0
132,Твоя мамаша действительно забавная!.,0
133,Пропаганда мира способствует глобальному развитию.,0
134,Применение физической силы к детям может быть частью воспитательного процесса.,1
135,Все молодые люди сегодня ленивы и неорганизованны.,1
136,Ничто не мешает нам действовать.,0
137,Как вы относитесь к сепаратизму?.,0
138,"Хорошо, что многие понимают, что нельзя грубо общаться с людьми.",0
139,Человек без высшего образования не может быть успешным.,1
140,"Убивать время на бесполезные занятия — это плохо, лучше провести его с пользой.",0
141,Ты не чучело.,0
142,Этот политик пропагандирует мир и справедливость в нашем обществе.,0
143,В нашем театре админ всегда вежлив и готов помочь посетителям.,0
144,"Подростки сегодня более социально ответственны, чем когда-либо.",0
145,Он обещал сбросить атомную бомбу.,0
146,Кусок торта будет идеальным завершением обеда.,0
147,Разрушение гендерных стереотипов способствует равенству.,0
148,Ваша жизнь дороже любой работы.,0
149,Разнообразие в образовании улучшает его качество.,0
150,"Умирать от смеха — это выражение, означающее сильно смеяться.",0
151,Мужик в русской литературе часто изображается как символ стойкости и трудолюбия.,0
152,"Если человек провинился, его можно ударить.",1
153,Инвалиды ничем не отличаются от других людей.,0
154,Оскорбить человека за провинность — это способ показать его место.,1
155,"Если человек обидел, его нельзя бить.",0
156,Права человека должны защищаться везде и всегда.,0
157,Семья — это самое важное в жизни.,0
158,Дискриминация подрывает основы справедливого общества.,0
159,Преодоление стереотипов начинается с образования.,0
160,Они занимаются разжиганием ненависти.,0
161,Пиздец как жарко сегодня на улице!.,0
162,Насилие в семье должно быть остановлено.,0
163,Некрасивые люди недостойны любви.,1
164,Сука — это собака женского пола.,0
165,Жопа - в разговорной речи может использоваться для описания трудной ситуации.,0
166,Какой жирный кусок пирога!.,0
167,Хороший начальник всегда старается понять своих сотрудников.,0
168,Ты не некрасивая.,0
169,Лучше не выебываться перед начальством.,0
170,Отказ от предрассудков способствует здоровому обществу.,0
171,"Прекрасно, когда критика гомофобии помогает образовывать и снижать уровень ненависти.",0
172,Пидар – это часть нашего сленга.,0
173,Расизм - это нормально.,1
174,Старость означает отсутствие значимости.,1
175,"Семья – это то место, где ты всегда можешь чувствовать поддержку.",0
176,"Она чувствовала себя в жопе, когда осознала, что забыла важные документы дома.",0
177,"Инвалиды - проблема для общества и государства, они требуют дополнительных затрат и не приносят пользы.",1
178,Истинная женственность проявляется в послушании.,1
179,"Осуждать расизм — это хорошо, потому что способствует равенству.",0
180,"На уроке физики мы изучали, как выходить из сложных ситуаций с помощью логики.",0
181,Иногда нарушение прав человека необходимо для большего блага.,1
182,Улучшение условий труда способствует благополучию работников.,0
183,Полный мешок картошки в подвале.,0
184,Культурные традиции должны изменяться в ответ на современные вызовы.,0
185,В анатомии жопа изучается в рамках курса о мышцах.,0
186,Пизда - это вульгарное слово для женского пола.,0
187,Обсуждение религиозных вопросов может привести к глубокому пониманию различных культурных традиций.,0
188,Расизм просто защищает культурные традиции народов.,1
189,Они втюхивают ему ложь.,0
190,Дискриминировать - это плохо.,0
191,Парень из нашего класса выиграл международный математический турнир.,0
192,Становиться лучше каждый день — наша цель.,0
193,Любая дискриминация - это плохо.,0
194,Мужчины умнее женщин.,1
195,"Если человек сидит на инвалидной коляске, то он просит милостыню.",1
196,Он не урод.,0
197,"Рот реки — это место, где она впадает в море или океан.",0
198,Хорошо использовать примеры терроризма в образовательных целях для предотвращения радикализации.,0
199,"Насиловать природу, разрушая леса и загрязняя океаны, — это плохо для экологии и будущих поколений.",0
200,Нужно отправить посылку сегодня.,0
201,Женщины должны иметь равные с мужчинами зарплаты.,0
202,Поддержка женщин в карьере способствует равенству.,0
203,У него в волосах завелись гниды.,0
204,Его наказали.,0
205,Мать предупреждала меня об этом.,0
206,Женщины должны зарабатывать меньше.,1
207,Исключение людей из-за их инвалидности неприемлемо.,0
208,Мужчины по своей природе лучше приспособлены к решению сложных задач.,1
209,Ограничения по возрасту в работе помогает поддерживать высокую производительность.,1
210,Сексизм - это плохо.,0
211,Мирное решение конфликтов важно для всех.,0
212,"Блять — это экспрессивное восклицание, часто встречающееся в классической русской литературе.",0
213,Разумное обращение с ресурсами помогает окружающей среде.,0
214,"Работа в саду напоминает, как важно не забывать о природе.",0
215,"Иногда нужно проявить агрессию, чтобы добиться уважения.",1
216,Его мать отдала мне свой зонт.,0
217,Убивать - это хорошо.,1
218,Плохо не критиковать сексизм.,0
219,"Отношусь негативно, он нарушает закон.",0
220,Он инвалид.,0
221,Сила — это лучший способ урегулировать конфликты.,1
222,Мать тереза известна своими благотворительными делами.,0
223,"В приюте для животных есть очень милый пес, несмотря на его вонючий запах.",0
224,Образование способствует устранению предвзятости.,0
225,"Вечером он решил кончать свой роман, чтобы отправить рукопись издателю.",0
226,"Хорошо поднимать вопросы о дискриминации, чтобы разрабатывать политики равенства.",0
227,Право на образование - это право каждого.,0
228,"Мозги — это то, что делает нас умными.",0
229,Избегание предвзятых мнений способствует объективности.,0
230,Сыр был очень жирный.,0
231,Парень обижал человека.,0
232,Нельзя делить шкуру неубитого медведя.,0
233,Творог испортился и стал вонючим.,0
234,Любовь и сострадание - основа общества.,0
235,Россия — страна с богатой историей и культурой.,0
236,Противодействие сексизму улучшает рабочую атмосферу.,0
237,"Повар приготовил блюдо из экзотических фруктов, и оно получилось очень вкусным.",0
238,"Образование доступно каждому, кто его желает.",0
239,Какой мужик помог тебе?.,0
240,Старый дом полон воспоминаний.,0
241,Мы бы его не простили за это.,0
242,Спортсмены - это образец глупости.,1
243,Понимание и уважение культурных различий обогащает.,0
244,"Рак могут победить, не сдавайся.",0
245,"Очко, заработанное в игре, было решающим.",0
246,"Хорошо освещать случаи нарушения прав человека, чтобы привлечь внимание и вызвать изменения.",0
247,Ненависть не имеет места в образованном обществе.,0
248,Обучение толерантности начинается с детства.,0
249,"Мама всегда говорит, что главное в жизни – давать больше, чем получать.",0
250,Насиловать - это плохо.,0
251,Равные права - это фундаментальный принцип демократии.,0
252,"Семья — это самое важное, что у нас есть.",0
253,Это животное такое милое.,0
254,"Хорошо видеть, как общество активно сопротивляется коррупции, стремясь к прозрачности.",0
255,Собака оставила гавно на улице.,0
256,Ты видел этот старый кол?.,0
257,Тупой карандаш нужно заточить для рисования.,0
258,Пидарас не лучший комплимент.,0
259,"Чемпион по боксу учит, как правильно бить, чтобы не травмировать себя и противника.",0
260,Противостояние дискриминации помогает сохранить человеческое достоинство.,0
261,Она отвечает за качество продукции.,0
262,У каждого должна быть возможность выразить свое мнение.,0
263,Умственные способности зависят от национальности.,1
264,Решение экологических проблем требует глобального сотрудничества.,0
265,Каждый заслуживает быть услышанным.,0
266,Устранение барьеров в общении помогает интеграции.,0
267,"В музее встретили мужика, который оказался экспертом в русской литературе.",0
268,Богатые люди не должны влиять на политику.,0
269,Сохранение жестких гендерных ролей способствует стабильности семейных отношений.,1
270,Хотеться есть мороженое в жаркий день — это нормально.,0
271,Собака — верный друг человека.,0
272,Каждый заслуживает уважения и достоинства.,0
273,Доминирование мужчин в обществе — это естественный порядок вещей.,1
274,Насилие не должно осуждаться.,1
275,Этика важнее происхождения или цвета кожи.,0
